Date & Time,Customer ID,Product ID,Quantity Sold,Unit Price,Total Transaction Amount,Store ID
2023-01-24 00:42:13,C0567,P071,9,76.69,690.22,S002
2023-01-24 13:41:37,C0030,P020,5,99.78,498.92,S007
2023-01-25 02:35:45,C0254,P097,2,65.68,131.37,S001
2023-01-25 09:24:14,C0137,P072,4,62.43,249.73,S005
2023-01-26 03:47:52,C0410,P036,6,63.1,378.63,S008
2023-01-26 05:11:09,C0536,P055,4,24.83,99.31,S008
2023-01-26 14:40:00,C0005,P084,6,3.17,19.04,S002
2023-01-27 02:35:47,C0655,P032,3,96.68,290.03,S002
2023-01-28 01:15:16,C0373,P074,2,89.77,179.55,S006
2023-01-28 05:50:35,C0203,P080,6,87.89,527.34,S008
2023-01-28 16:10:11,C0307,P028,5,8.33,41.66,S004
2023-01-29 02:36:23,C0659,P035,7,63.13,441.93,S007
2023-01-29 12:30:18,C0422,P045,6,86.98,521.9,S010
2023-01-29 14:57:27,C0513,P068,1,17.71,17.71,S004
2023-01-30 01:19:16,C0546,P060,9,44.7,402.32,S007
2023-01-30 14:21:34,C0806,P006,9,91.67,825.0,S004
2023-01-30 14:47:31,C0342,P029,5,69.21,346.04,S001
2023-01-30 17:53:13,C0621,P042,5,13.15,65.76,S007
2023-01-31 03:26:13,C0945,P091,2,8.01,16.02,S007
2023-01-31 12:26:48,C0029,P013,9,20.99,188.88,S005
2023-01-31 13:23:54,C0795,P026,1,26.75,26.75,S004
2023-01-31 13:43:32,C0621,P042,3,82.28,246.84,S003
2023-01-31 17:34:11,C0109,P098,9,6.79,61.11,S007
2023-01-31 17:58:56,C0387,P024,2,87.71,175.41,S003
2023-02-01 14:30:25,C0434,P093,4,21.41,85.65,S007
2023-02-01 17:55:58,C0451,P094,4,71.92,287.68,S004
2023-02-01 21:01:44,C0044,P087,4,7.95,31.79,S001
2023-02-01 22:42:07,C0582,P085,3,8.09,24.26,S003
2023-02-02 13:36:52,C0032,P083,4,69.13,276.52,S009
2023-02-02 16:55:59,C0592,P067,8,74.05,592.37,S003
2023-02-02 19:35:14,C0672,P050,5,90.44,452.21,S005
2023-02-02 22:19:02,C0116,P037,4,45.55,182.22,S002
2023-02-02 23:46:50,C0844,P095,3,16.06,48.19,S006
2023-02-03 02:09:03,C0531,P056,6,52.61,315.66,S004
2023-02-03 08:49:37,C0685,P054,6,33.45,200.68,S003
2023-02-03 14:26:44,C0034,P076,1,89.46,89.46,S005
2023-02-04 04:23:29,C0826,P009,2,82.27,164.54,S008
2023-02-05 05:55:48,C0575,P046,8,98.09,784.71,S009
2023-02-05 14:00:33,C0048,P009,5,40.93,204.65,S004
2023-02-05 15:35:49,C0680,P003,2,78.84,157.68,S002
2023-02-05 21:26:12,C0256,P001,5,92.83,464.13,S007
2023-02-07 08:31:51,C0784,P093,4,76.43,305.74,S001
2023-02-07 08:43:37,C0346,P033,1,64.32,64.32,S006
2023-02-07 10:25:54,C0278,P010,9,21.2,190.8,S002
2023-02-07 19:33:40,C0139,P056,9,10.02,90.15,S008
2023-02-08 01:12:00,C0694,P022,3,92.85,278.54,S003
2023-02-08 01:42:34,C0678,P055,4,97.0,388.0,S008
2023-02-08 09:38:41,C0873,P018,2,22.1,44.21,S003
2023-02-08 12:16:11,C0187,P031,7,3.44,24.07,S003
2023-02-08 21:44:10,C0848,P030,4,63.49,253.94,S002
2023-02-09 16:25:55,C0264,P059,6,84.77,508.62,S007
2023-02-12 11:07:08,C0675,P100,7,8.56,59.89,S007
2023-02-13 00:48:51,C0166,P076,6,30.19,181.15,S004
2023-02-13 14:13:35,C0399,P091,1,24.62,24.62,S005
2023-02-14 01:54:42,C0887,P090,1,15.54,15.54,S004
2023-02-14 10:23:45,C0688,P070,4,48.42,193.68,S005
2023-02-14 10:57:58,C0941,P031,6,74.31,445.86,S007
2023-02-14 15:54:34,C0172,P018,4,8.83,35.33,S005
2023-02-15 00:39:02,C0572,P095,6,99.04,594.26,S001
2023-02-15 12:10:45,C0413,P029,6,2.98,17.87,S002
2023-02-15 15:02:06,C0318,P006,3,75.11,225.34,S010
2023-02-16 06:35:58,C0606,P049,5,5.96,29.78,S003
2023-02-16 10:48:06,C0974,P039,2,16.99,33.99,S006
2023-02-16 19:35:36,C0782,P045,6,91.68,550.06,S004
2023-02-17 19:02:42,C0084,P015,2,63.39,126.78,S007
2023-02-17 22:27:30,C0678,P004,4,25.42,101.69,S007
2023-02-18 02:29:06,C0473,P028,5,36.69,183.45,S008
2023-02-18 17:14:29,C0317,P093,4,54.96,219.84,S001
2023-02-18 17:20:40,C0876,P098,6,67.03,402.21,S007
2023-02-18 21:17:47,C0062,P016,6,59.37,356.22,S003
2023-02-19 04:16:46,C0304,P023,1,4.23,4.23,S006
2023-02-19 09:46:59,C0203,P016,7,25.45,178.14,S004
2023-02-19 11:18:57,C0495,P073,3,3.73,11.19,S003
2023-02-19 16:56:34,C0537,P061,4,76.61,306.44,S006
2023-02-19 19:05:47,C0956,P002,6,98.58,591.47,S009
2023-02-19 19:18:26,C0707,P033,6,14.01,84.06,S002
2023-02-20 03:29:01,C0955,P063,7,15.81,110.7,S010
2023-02-20 12:02:28,C0505,P082,6,54.69,328.15,S001
2023-02-20 13:45:39,C0873,P088,9,64.17,577.53,S003
2023-02-20 18:42:41,C0489,P066,4,26.43,105.7,S001
2023-02-21 00:17:22,C0370,P067,9,61.03,549.26,S004
2023-02-21 06:43:21,C0166,P009,3,58.09,174.26,S009
2023-02-21 10:13:48,C0208,P010,3,49.07,147.2,S001
2023-02-21 10:19:43,C0950,P006,6,9.08,54.5,S010
2023-02-21 10:26:40,C0949,P057,9,45.5,409.48,S008
2023-02-22 05:55:23,C0630,P077,7,31.31,219.19,S004
2023-02-22 07:25:57,C0799,P031,8,49.68,397.48,S008
2023-02-22 09:30:49,C0144,P059,6,26.4,158.38,S009
2023-02-22 11:08:44,C0907,P051,4,65.75,263.01,S006
2023-02-23 01:22:10,C0882,P007,8,11.41,91.31,S003
2023-02-23 07:47:29,C0687,P074,5,56.97,284.84,S003
2023-02-23 08:37:02,C0872,P088,6,11.13,66.78,S002
2023-02-23 22:37:30,C0345,P051,6,23.8,142.78,S003
2023-02-24 09:43:32,C0474,P006,9,56.64,509.8,S008
2023-02-24 21:23:25,C0163,P035,1,38.77,38.77,S004
2023-02-24 23:57:08,C0543,P086,4,17.96,71.83,S004
2023-02-25 17:49:43,C0589,P047,2,29.72,59.44,S004
2023-02-25 19:13:11,C0340,P072,6,97.49,584.93,S010
2023-02-26 12:29:28,C0143,P088,3,5.18,15.55,S007
2023-02-26 15:35:13,C0337,P064,6,40.71,244.27,S006
2023-02-27 03:53:48,C0547,P025,3,88.77,266.32,S006
2023-02-27 09:08:52,C0563,P057,9,61.53,553.78,S003
2023-02-27 10:45:15,C0232,P005,8,97.19,777.52,S004
2023-02-28 00:02:12,C0121,P058,7,2.65,18.53,S003
2023-02-28 00:12:55,C0519,P055,8,27.88,223.01,S008
2023-02-28 08:02:02,C0990,P002,5,97.75,488.76,S001
2023-02-28 17:13:29,C0913,P079,5,83.79,418.96,S006
2023-02-28 18:02:11,C0148,P081,1,31.49,31.49,S008
2023-03-01 08:03:35,C0478,P092,9,68.19,613.71,S002
2023-03-01 14:26:38,C0976,P029,2,28.67,57.33,S007
2023-03-01 15:18:35,C0765,P062,3,25.76,77.28,S005
2023-03-01 15:51:28,C0500,P089,2,52.3,104.61,S009
2023-03-02 05:17:36,C0974,P098,3,81.88,245.64,S001
2023-03-02 14:19:44,C0367,P061,2,5.62,11.25,S004
2023-03-03 05:03:06,C0776,P085,9,99.99,899.91,S010
2023-03-03 23:10:54,C0927,P090,5,58.61,293.03,S001
2023-03-04 02:22:39,C0686,P019,8,44.63,357.04,S002
2023-03-04 03:28:08,C0484,P082,6,63.17,379.02,S010
2023-03-04 05:29:14,C0067,P092,3,19.42,58.27,S008
2023-03-04 08:12:30,C0373,P088,3,92.6,277.8,S005
2023-03-04 10:07:54,C0736,P051,2,71.98,143.96,S007
2023-03-04 23:21:41,C0583,P085,8,22.4,179.23,S010
2023-03-05 06:54:49,C0090,P054,4,91.73,366.92,S005
2023-03-05 17:47:40,C0131,P010,1,37.07,37.07,S006
2023-03-05 23:15:59,C0082,P028,2,86.57,173.15,S007
2023-03-06 10:56:10,C0669,P034,6,36.48,218.9,S008
2023-03-06 11:51:14,C0698,P054,2,9.79,19.58,S004
2023-03-06 15:38:50,C0110,P028,2,76.01,152.02,S006
2023-03-06 16:49:46,C0619,P015,7,42.99,300.92,S004
2023-03-06 23:41:30,C0193,P041,7,43.16,302.1,S008
2023-03-07 01:54:11,C0091,P044,7,28.54,199.77,S010
2023-03-07 17:56:41,C0636,P027,1,81.69,81.69,S010
2023-03-07 22:20:58,C0299,P083,3,86.19,258.58,S004
2023-03-08 09:55:10,C0421,P055,1,44.09,44.09,S007
2023-03-08 11:32:06,C0125,P021,7,35.5,248.51,S008
2023-03-09 10:24:43,C0711,P076,7,5.92,41.47,S003
2023-03-09 14:11:16,C0647,P007,4,79.88,319.51,S001
2023-03-09 22:08:33,C0269,P092,5,24.1,120.51,S006
2023-03-11 02:09:49,C0466,P074,2,41.32,82.64,S002
2023-03-11 05:51:13,C0986,P089,9,63.21,568.93,S003
2023-03-11 07:03:32,C0540,P031,6,97.97,587.8,S002
2023-03-11 09:02:26,C0719,P063,8,4.26,34.06,S010
2023-03-12 13:36:40,C0563,P050,8,89.43,715.45,S009
2023-03-13 05:01:09,C0930,P084,3,38.82,116.45,S002
2023-03-13 05:10:49,C0969,P009,9,98.3,884.74,S006
2023-03-13 20:19:35,C0143,P041,6,57.26,343.56,S010
2023-03-14 05:41:10,C0340,P081,1,53.44,53.44,S010
2023-03-15 04:38:11,C0912,P067,5,29.47,147.36,S006
2023-03-17 18:39:59,C0681,P045,2,36.33,72.65,S010
2023-03-18 00:30:03,C0554,P018,5,86.11,430.53,S009
2023-03-18 08:34:41,C0471,P058,2,87.29,174.57,S002
2023-03-18 10:17:02,C0374,P046,6,95.13,570.81,S004
2023-03-18 22:19:22,C0011,P074,4,61.17,244.68,S002
2023-03-19 07:59:08,C0965,P093,8,55.48,443.82,S004
2023-03-19 12:42:03,C0336,P040,9,9.68,87.09,S006
2023-03-20 08:18:11,C0170,P058,2,7.65,15.3,S002
2023-03-20 08:46:41,C0335,P077,4,30.15,120.58,S007
2023-03-20 16:14:31,C0385,P072,7,31.61,221.3,S003
2023-03-21 16:18:48,C0362,P044,7,12.4,86.82,S005
2023-03-21 20:41:21,C0411,P013,8,88.62,708.94,S005
2023-03-22 04:12:00,C0068,P027,1,10.43,10.43,S010
2023-03-22 08:13:01,C0253,P093,8,90.8,726.36,S001
2023-03-22 21:30:33,C0056,P009,3,69.39,208.17,S006
2023-03-23 10:46:47,C0853,P038,5,16.38,81.9,S005
2023-03-23 12:23:19,C0995,P052,2,1.93,3.85,S009
2023-03-23 13:40:21,C0290,P007,1,53.92,53.92,S007
2023-03-24 08:08:00,C0656,P045,7,75.05,525.32,S003
2023-03-24 13:51:52,C0959,P049,7,50.23,351.64,S002
2023-03-24 19:05:06,C0373,P071,6,92.92,557.51,S001
2023-03-24 20:28:55,C0329,P075,9,94.11,846.95,S010
2023-03-25 15:36:36,C0054,P020,7,41.46,290.25,S007
2023-03-25 18:53:57,C0773,P087,4,6.52,26.07,S003
2023-03-26 01:54:22,C0135,P025,3,1.01,3.03,S010
2023-03-26 07:45:30,C0279,P088,1,80.74,80.74,S010
2023-03-26 17:29:12,C0877,P033,2,33.72,67.44,S010
2023-03-26 19:16:56,C0293,P011,3,45.39,136.18,S001
2023-03-27 00:06:55,C0509,P036,6,33.84,203.01,S008
2023-03-27 16:35:36,C0517,P032,1,38.1,38.1,S009
2023-03-27 19:16:06,C0150,P075,9,91.67,825.02,S007
2023-03-28 09:05:04,C0204,P023,1,24.65,24.65,S007
2023-03-28 09:10:33,C0809,P086,7,8.41,58.84,S008
2023-03-29 06:43:36,C0877,P015,9,65.97,593.75,S003
2023-03-29 23:12:06,C0583,P085,2,34.37,68.75,S010
2023-03-30 05:12:02,C0307,P098,4,24.43,97.7,S001
2023-03-30 10:47:45,C0621,P010,2,1.81,3.63,S007
2023-03-30 18:08:05,C0852,P077,3,22.58,67.74,S010
2023-03-30 21:01:31,C0696,P073,6,62.48,374.88,S007
2023-03-31 06:13:30,C0202,P021,2,54.58,109.17,S009
2023-04-01 05:18:11,C0021,P010,1,5.07,5.07,S003
2023-04-01 07:20:01,C0326,P080,9,31.79,286.1,S010
2023-04-01 08:43:49,C0669,P040,3,21.66,64.97,S004
2023-04-01 13:10:02,C0021,P077,5,84.64,423.18,S003
2023-04-01 16:47:36,C0871,P048,6,6.21,37.23,S008
2023-04-01 23:11:17,C0215,P070,8,13.58,108.62,S003
2023-04-02 12:23:00,C0652,P100,4,80.77,323.06,S002
2023-04-03 08:45:36,C0619,P006,8,85.05,680.39,S002
2023-04-03 08:54:47,C0719,P025,6,19.18,115.08,S005
2023-04-03 14:26:47,C0030,P099,4,33.57,134.27,S003
2023-04-04 02:55:44,C0856,P080,4,35.55,142.2,S002
2023-04-04 07:13:31,C0381,P072,2,9.2,18.4,S002
2023-04-04 19:28:21,C0411,P078,6,50.1,300.57,S003
2023-04-05 10:42:39,C0362,P039,3,59.16,177.48,S002
2023-04-05 10:47:06,C0966,P023,9,7.75,69.76,S006
2023-04-06 13:02:26,C0783,P065,4,21.12,84.49,S009
2023-04-06 15:35:07,C0362,P019,9,84.07,756.6,S005
2023-04-07 00:56:19,C0575,P075,6,41.79,250.75,S003
2023-04-07 10:35:57,C0917,P047,3,30.43,91.3,S003
2023-04-07 19:02:04,C0546,P011,2,89.76,179.51,S007
2023-04-08 08:11:53,C0649,P075,3,23.55,70.64,S007
2023-04-08 10:25:01,C0983,P076,9,39.43,354.83,S009
2023-04-09 04:35:47,C0839,P059,6,24.88,149.27,S002
2023-04-09 16:41:50,C0279,P012,2,24.3,48.6,S007
2023-04-09 21:36:54,C0553,P061,4,37.16,148.62,S004
2023-04-10 20:12:47,C0691,P090,3,98.62,295.86,S003
2023-04-10 23:37:39,C0352,P002,2,25.8,51.59,S002
2023-04-11 01:02:31,C0563,P098,4,86.53,346.11,S008
2023-04-11 08:05:09,C0240,P015,4,87.76,351.03,S004
2023-04-11 11:56:42,C0764,P005,2,84.19,168.38,S007
2023-04-12 01:26:16,C0543,P052,8,95.74,765.92,S004
2023-04-12 06:44:01,C0701,P044,9,39.74,357.69,S002
2023-04-12 13:45:21,C0958,P018,6,76.13,456.78,S006
2023-04-12 14:38:43,C0153,P072,4,4.12,16.49,S002
2023-04-13 06:46:40,C0200,P085,5,73.89,369.43,S010
2023-04-14 09:21:11,C0884,P088,9,29.41,264.67,S006
2023-04-14 14:42:14,C0233,P004,2,34.24,68.48,S006
2023-04-14 14:46:14,C0403,P007,7,86.32,604.22,S002
2023-04-14 20:40:31,C0913,P068,3,23.3,69.9,S010
2023-04-15 11:09:49,C0507,P093,8,61.01,488.07,S001
2023-04-16 06:22:44,C0134,P086,7,48.4,338.79,S004
2023-04-17 02:09:03,C0729,P044,1,79.26,79.26,S002
2023-04-17 22:09:10,C0545,P073,8,97.64,781.1,S001
2023-04-18 02:46:13,C0618,P065,3,7.5,22.49,S007
2023-04-18 06:56:20,C0835,P099,9,27.56,248.0,S006
2023-04-18 09:07:12,C0226,P002,2,26.48,52.96,S008
2023-04-18 12:39:24,C0464,P064,9,60.95,548.59,S007
2023-04-18 13:18:54,C0901,P081,2,20.34,40.68,S007
2023-04-20 19:10:36,C0066,P076,1,85.06,85.06,S004
2023-04-20 23:11:41,C0698,P089,9,18.29,164.62,S007
2023-04-21 11:53:49,C0590,P008,4,37.64,150.55,S009
2023-04-23 11:59:09,C0716,P006,4,98.32,393.26,S003
2023-04-23 12:30:38,C0447,P086,8,6.95,55.6,S005
2023-04-23 13:50:33,C0998,P024,6,90.34,542.07,S005
2023-04-24 03:34:53,C0387,P022,8,24.66,197.3,S003
2023-04-24 11:51:46,C0055,P014,7,38.23,267.63,S006
2023-04-24 15:20:00,C0409,P005,5,36.87,184.34,S004
2023-04-25 15:32:50,C0894,P049,6,93.69,562.13,S007
2023-04-27 06:51:57,C0424,P088,8,48.9,391.18,S007
2023-04-28 06:01:12,C0719,P081,7,33.77,236.41,S009
2023-04-28 08:25:41,C0842,P016,2,57.87,115.74,S006
2023-04-28 14:28:36,C0953,P009,2,63.28,126.56,S003
2023-04-30 02:07:51,C0512,P003,4,87.32,349.26,S005
2023-04-30 18:39:34,C0421,P033,8,27.42,219.34,S004
2023-05-01 02:51:19,C0578,P072,5,93.74,468.71,S007
2023-05-01 06:08:05,C0813,P024,2,86.75,173.5,S004
2023-05-01 10:34:40,C0961,P042,2,55.52,111.04,S010
2023-05-02 21:04:27,C0258,P027,6,96.8,580.82,S002
2023-05-02 22:10:48,C0617,P077,8,50.35,402.82,S004
2023-05-02 22:43:36,C0708,P063,4,91.87,367.47,S007
2023-05-03 03:59:57,C0390,P037,3,19.15,57.46,S009
2023-05-03 05:59:26,C0359,P010,9,17.1,153.94,S005
2023-05-03 09:34:45,C0243,P075,7,73.23,512.61,S006
2023-05-04 02:21:14,C0099,P092,1,54.04,54.04,S008
2023-05-04 02:27:40,C0359,P092,7,26.34,184.41,S001
2023-05-04 07:27:11,C0192,P044,1,81.87,81.87,S007
2023-05-04 08:13:40,C0279,P071,4,67.19,268.77,S003
2023-05-04 13:26:28,C0574,P084,8,87.87,702.98,S010
2023-05-05 05:39:52,C0792,P026,5,87.51,437.56,S010
2023-05-05 09:27:19,C0787,P026,6,38.53,231.2,S005
2023-05-05 13:43:19,C0165,P030,1,91.69,91.69,S002
2023-05-05 18:53:14,C0867,P042,7,12.39,86.7,S007
2023-05-06 05:14:00,C0387,P025,2,62.58,125.16,S007
2023-05-06 08:40:15,C0771,P062,1,38.81,38.81,S010
2023-05-06 11:55:11,C0323,P038,6,91.73,550.37,S009
2023-05-06 19:59:16,C0377,P072,1,43.25,43.25,S007
2023-05-07 07:17:10,C0797,P008,2,51.98,103.95,S004
2023-05-07 08:10:26,C0510,P042,1,94.56,94.56,S001
2023-05-07 12:53:53,C0841,P024,7,18.37,128.58,S003
2023-05-08 02:14:04,C0201,P048,8,66.57,532.59,S005
2023-05-08 09:56:08,C0135,P010,4,62.02,248.09,S004
2023-05-08 14:17:32,C0626,P077,2,48.75,97.5,S006
2023-05-09 02:14:02,C0608,P100,9,68.94,620.42,S009
2023-05-09 02:21:54,C0106,P022,4,79.7,318.78,S009
2023-05-09 04:33:07,C0382,P064,7,97.4,681.77,S010
2023-05-09 11:40:19,C0480,P015,9,70.89,638.05,S009
2023-05-10 15:17:42,C0276,P058,2,47.41,94.82,S002
2023-05-10 18:00:39,C0135,P078,1,40.7,40.7,S001
2023-05-11 09:12:53,C0265,P088,8,86.08,688.65,S010
2023-05-11 22:09:02,C0130,P073,2,17.3,34.6,S007
2023-05-12 03:57:33,C0219,P077,5,54.22,271.1,S005
2023-05-12 18:02:57,C0934,P012,8,36.36,290.91,S009
2023-05-12 18:27:05,C0679,P027,3,18.42,55.26,S001
2023-05-14 05:06:28,C0605,P061,6,31.76,190.56,S009
2023-05-14 15:18:18,C0359,P042,5,59.71,298.57,S008
2023-05-15 02:28:54,C0115,P013,4,70.27,281.1,S009
2023-05-15 08:39:50,C0521,P063,8,70.57,564.53,S009
2023-05-16 07:04:47,C0610,P057,8,86.91,695.24,S007
2023-05-16 21:40:02,C0807,P068,1,89.59,89.59,S007
2023-05-16 22:11:56,C0009,P049,6,94.65,567.88,S006
2023-05-16 23:55:33,C0734,P013,1,87.95,87.95,S010
2023-05-17 01:00:37,C0280,P032,4,98.07,392.26,S005
2023-05-17 03:46:23,C0421,P023,6,54.87,329.19,S007
2023-05-17 05:38:12,C0844,P037,8,54.52,436.2,S008
2023-05-17 07:38:06,C0070,P007,4,19.82,79.28,S001
2023-05-17 21:51:54,C0744,P003,1,95.63,95.63,S006
2023-05-18 13:37:20,C0265,P031,8,79.38,635.04,S010
2023-05-18 15:06:01,C0158,P016,3,27.09,81.26,S004
2023-05-19 11:27:15,C0352,P023,2,85.04,170.07,S009
2023-05-19 19:25:21,C0927,P046,6,41.11,246.65,S010
2023-05-20 20:50:22,C0513,P091,9,20.83,187.51,S002
2023-05-21 02:40:18,C0819,P021,8,73.3,586.36,S004
2023-05-21 10:33:03,C0483,P013,2,75.75,151.49,S003
2023-05-21 20:52:42,C0969,P037,2,97.33,194.67,S002
2023-05-22 11:48:44,C0448,P004,5,73.42,367.08,S009
2023-05-22 12:36:51,C0691,P032,6,2.73,16.4,S008
2023-05-22 19:14:12,C0556,P032,1,67.11,67.11,S009
2023-05-23 10:42:35,C0827,P027,3,6.08,18.23,S004
2023-05-23 11:15:14,C0342,P068,8,83.78,670.27,S009
2023-05-23 13:57:42,C0561,P033,7,74.89,524.21,S006
2023-05-24 09:32:28,C0924,P070,2,94.08,188.16,S009
2023-05-24 11:43:23,C0405,P042,1,86.53,86.53,S001
2023-05-25 06:39:44,C0194,P067,8,34.93,279.45,S001
2023-05-25 07:23:34,C0620,P059,1,88.22,88.22,S001
2023-05-25 21:25:30,C0633,P022,9,76.04,684.37,S004
2023-05-25 22:00:21,C0966,P056,1,5.17,5.17,S007
2023-05-25 23:56:51,C0111,P047,4,84.14,336.55,S005
2023-05-26 06:41:12,C0224,P061,5,3.35,16.74,S009
2023-05-26 07:05:48,C0231,P088,6,39.08,234.48,S001
2023-05-26 07:28:58,C0953,P074,3,98.83,296.49,S003
2023-05-26 09:02:22,C0538,P064,2,21.36,42.72,S009
2023-05-27 00:10:01,C0193,P066,3,37.02,111.07,S010
2023-05-27 13:42:41,C0192,P049,5,83.95,419.77,S002
2023-05-27 23:04:45,C0755,P074,4,28.38,113.52,S006
2023-05-28 05:03:06,C0399,P053,8,74.21,593.7,S002
2023-05-28 18:55:41,C0445,P058,6,58.35,350.07,S004
2023-05-28 19:15:34,C0124,P011,4,21.8,87.21,S006
2023-05-28 23:55:02,C0103,P056,8,32.15,257.19,S003
2023-05-29 10:34:18,C0415,P027,1,5.43,5.43,S009
2023-05-29 22:34:14,C0165,P098,3,1.17,3.52,S003
2023-05-30 16:54:11,C0333,P092,8,50.19,401.5,S009
2023-05-31 04:31:12,C0568,P054,5,5.72,28.59,S009
2023-05-31 07:03:24,C0053,P065,5,32.44,162.21,S001
2023-05-31 07:40:24,C0676,P044,4,97.49,389.95,S008
2023-05-31 18:05:44,C0353,P016,3,94.99,284.98,S003
2023-05-31 20:35:58,C0943,P058,6,25.13,150.79,S005
2023-05-31 20:55:58,C0053,P065,8,3.24,25.89,S002
2023-06-01 15:01:25,C0760,P015,2,41.82,83.64,S009
2023-06-02 11:40:28,C0529,P093,3,42.0,125.99,S004
2023-06-02 15:27:07,C0663,P099,7,14.24,99.68,S003
2023-06-03 09:06:41,C0103,P070,3,57.75,173.26,S005
2023-06-03 23:28:17,C0626,P056,1,54.92,54.92,S007
2023-06-04 00:10:19,C0493,P046,4,59.09,236.36,S004
2023-06-04 10:46:54,C0226,P079,3,49.67,149.02,S001
2023-06-05 07:12:47,C0605,P027,3,58.08,174.24,S006
2023-06-05 11:54:54,C0597,P035,6,38.63,231.79,S008
2023-06-06 07:29:11,C0923,P026,5,74.79,373.95,S009
2023-06-06 23:03:19,C0185,P054,8,76.99,615.9,S008
2023-06-08 02:22:03,C0679,P078,4,35.66,142.65,S008
2023-06-08 04:25:29,C0373,P096,5,42.81,214.03,S005
2023-06-08 04:42:22,C0723,P003,5,85.93,429.63,S006
2023-06-08 11:45:23,C0922,P028,8,44.81,358.48,S003
2023-06-08 14:03:28,C0593,P010,3,25.97,77.92,S004
